Station,Date,Time,Campaign,Institution,River,Latitude,Longitude,Average Velocity (m/s),Flow (m3/s),Distance from Bank,Conductivity (uS/cm),Bulk Density (g/cm3),Real Density (g/cm3),Moisture (%),Organic Matter (%),pH,Sand (%),Silt (%),Clay (%),Textural Classification,0.032 mm - No. 450 (ASTM) (%),0.063 mm - No. 230 (ASTM) (%),0.125 mm - No. 120 (ASTM) (%),0.250 mm - No. 060 (ASTM) (%),0.500 mm - No. 035 (ASTM) (%),1.00 mm - No. 018 (ASTM) (%),2.00 mm - No. 010 (ASTM) (%),Residue (%),Sieve Size,Aluminum (g/100 g fraction) (% Al),Antimony (mg/kg Sb),Arsenic (mg/kg As),Sulfur (g/100 g fraction) (% S),Barium (mg/kg Ba),Beryllium (mg/kg Be),Bismuth (mg/kg Bi),Boron (mg/kg B),Cadmium (mg/kg Cd),Calcium (g/100 g fraction) (% Ca),Cerium (mg/kg Ce),Cesium (mg/kg Cs),Cobalt (mg/kg Co),Copper (mg/kg Cu),Chromium (mg/kg Cr),Dysprosium (mg/kg Dy),Erbium (mg/kg Er),Scandium (mg/kg Sc),Tin (mg/kg Sn),Strontium (mg/kg Sr),Europium (mg/kg Eu),Phosphorus (g/100 g fraction) (% P),Gadolinium (mg/kg Gd),Gallium (mg/kg Ga),Germanium (mg/kg Ge),Hafnium (mg/kg Hf),Iron (g/100 g fraction) (% Fe),Holmium (mg/kg Ho),Indium (mg/kg In),Ytterbium (mg/kg Yb),Yttrium (mg/kg Y),Lanthanum (mg/kg La),Lithium (mg/kg Li),Lutetium (mg/kg Lu),Magnesium (g/100 g fraction) (% Mg),Manganese (mg/kg Mn),Mercury (ug/kg fraction) (ug/kg Hg),Molybdenum (mg/kg Mo),Neodymium (mg/kg Nd),Niobium (mg/kg Nb),Nickel (mg/kg Ni),Gold (ug/kg fraction) (ug/kg Au),Silver (mg/kg Ag),Lead (mg/kg Pb),Potassium (g/100 g fraction) (% K),Praseodymium (mg/kg Pr),Rhenium (mg/kg Re),Rubidium (mg/kg Rb),Samarium (mg/kg Sm),Selenium (mg/kg Se),Sodium (g/100 g fraction) (% Na),Thallium (mg/kg Tl),Tantalum (mg/kg Ta),Tellurium (mg/kg Te),Terbium (mg/kg Tb),Titanium (g/100 g fraction) (% Ti),Thorium (mg/kg Th),Thulium (mg/kg Tm),Uranium (mg/kg U),Vanadium (mg/kg V),Tungsten (mg/kg W),Zinc (mg/kg Zn),Zirconium (mg/kg Zr),Lat_dd,Long_dd,data_source,Apparent Density (g/cm3),0.016 mm (%),4.75 mm - No. 004 (ASTM) (%)
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2016-04-20,11:20,April 2016,DE - CTN,Pilcomayo,"19° 7' 55.64""","65° 34' 17.70""",1.306,10.577,1,433,1.62,2.82,21.5,0.35,8.4,NA,NA,NA,NA,15.04,41.78,23.45,3.76,NA,NA,NA,15.97,0.032 mm - N° 450 (ASTM),1.37,4.65,12,0.5,372,1.2,0.39,23,0.11,0.38,31.3,5.91,10.1,24.7,127,1.6,0.6,4.5,1.86,29.1,0.3,0.039,2.2,0.01,0.05,0.05,2.37,0.3,0.06,0.4,6.45,12.6,16.2,0.05,0.33,342,110,0.67,13.6,0.05,19.1,0.25,0.158,19.9,0.42,3.5,5e-4,25.3,2.7,0.05,0.063,0.2,0.025,0.03,0.3,0.009,6.5,0.05,0.8,22,4.4,58.2,2.8,-19.132122,-65.571583,sed_2016_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2016-04-20,11:20,April 2016,DE - CTN,Pilcomayo,"19° 7' 55.64""","65° 34' 17.70""",1.306,10.577,1,433,1.62,2.82,21.5,0.35,8.4,NA,NA,NA,NA,15.04,41.78,23.45,3.76,NA,NA,NA,15.97,0.063 mm - N° 230 (ASTM),0.87,6.24,12.3,0.5,250,0.9,0.3,15,0.13,0.35,16.7,3.99,7.9,18.9,156,1.1,0.4,2.9,1.29,23.7,0.3,0.032,1.5,0.01,0.05,0.05,1.77,0.2,0.06,0.3,4.5,6.2,11.2,0.05,0.26,282,120,0.56,7.6,0.05,15.3,0.25,0.299,22.7,0.25,1.9,5e-4,16,1.8,0.05,0.052,0.19,0.025,0.03,0.2,0.007,3.3,0.05,0.5,11,4.7,56.7,2.1,-19.132122,-65.571583,sed_2016_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2016-04-20,11:20,April 2016,DE - CTN,Pilcomayo,"19° 7' 55.64""","65° 34' 17.70""",1.306,10.577,1,433,1.62,2.82,21.5,0.35,8.4,NA,NA,NA,NA,15.04,41.78,23.45,3.76,NA,NA,NA,15.97,0.125 mm - N° 120 (ASTM),1.04,5.55,15,0.5,238,0.9,0.31,15,0.16,0.43,15.3,3.44,7,20.1,277,1,0.4,3,2.02,36.1,0.2,0.033,1.3,0.01,0.05,0.05,1.55,0.2,0.07,0.3,4.45,5.8,13.7,0.05,0.24,268,300,1.32,6.96,0.05,16.5,0.25,0.454,28.6,0.28,1.8,0.001,18.2,1.6,0.05,0.076,0.23,0.025,0.04,0.2,0.013,2.7,0.05,0.5,4,18.1,75.3,1.7,-19.132122,-65.571583,sed_2016_clean.xlsx,NA,NA,NA
Villamontes,2017-12-18,6:05,December 2017,DE - CTN,Pilcomayo,"21° 15' 29.22""","63° 30' 41.88""",0.816,103.081,0,356,1.62,2.65,21.5,0.65,8.2,87.93,11.07,1,Arena,17.19,43.17,17.8,0,NA,NA,NA,21.84,0.063 mm - N° 230 (ASTM),1.08,1.38,5.1,0.5,363,0.7,0.2,7,0.03,0.43,38.8,2.87,80.2,10.3,15,1.7,0.7,2.6,1.18,30.9,0.6,0.045,2.8,1.33,0.05,0.05,1.97,0.3,0.03,0.4,6.53,18,13.2,0.05,0.31,272,250,0.4,21.2,0.4,12.7,0.25,0.058,11.4,0.34,4.6,5e-4,13.3,3.5,0.05,0.058,0.1,0.025,0.01,0.3,0.03,5.5,0.05,0.6,28,300,41.5,4.4,-21.258117,-63.511633,sed_2017_clean.xlsx,NA,NA,NA
Villamontes,2017-12-18,6:05,December 2017,DE - CTN,Pilcomayo,"21° 15' 29.22""","63° 30' 41.88""",0.816,103.081,0.5,338,1.62,2.59,21.2,0.6,8.4,91.93,7.07,1,Arena,10.55,51.81,27.87,0.69,NA,NA,NA,9.08,0.063 mm - N° 230 (ASTM),1.13,1.36,5.2,0.5,264,0.6,0.19,7,0.06,0.47,29,2.67,74.1,9.1,13,1.5,0.6,2.3,1.02,30.5,0.5,0.041,2.4,1.85,0.05,0.05,1.73,0.2,0.04,0.4,6.02,13.5,13.1,0.05,0.3,247,70,0.36,16,0.2,11.6,0.25,0.069,10.5,0.37,3.4,5e-4,14.1,3,0.05,0.062,0.11,0.025,0.01,0.3,0.019,4.2,0.05,0.5,23,300,37.8,3.3,-21.258117,-63.511633,sed_2017_clean.xlsx,NA,NA,NA
Villamontes,2017-12-18,6:05,December 2017,DE - CTN,Pilcomayo,"21° 15' 29.22""","63° 30' 41.88""",0.816,103.081,0.5,338,1.62,2.59,21.2,0.6,8.4,91.93,7.07,1,Arena,10.55,51.81,27.87,0.69,NA,NA,NA,9.08,0.125 mm - N° 120 (ASTM),0.85,0.88,4.4,0.5,86.9,0.3,0.12,4,0.04,0.37,13.8,1.63,106,5.8,9,1,0.4,1.6,0.9,23.9,0.3,0.027,1.3,1.95,0.05,0.05,1.07,0.1,0.04,0.2,3.91,6.6,10.8,0.05,0.21,158,5,0.29,8.22,0.05,8.9,0.25,0.061,7.3,0.25,1.7,5e-4,10.3,1.4,0.05,0.057,0.08,0.025,0.01,0.2,0.009,2.4,0.05,0.3,12,123,29.3,1.5,-21.258117,-63.511633,sed_2017_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2017-12-17,7:00,December 2017,DE - CTN,Pilcomayo,"22° 22' 41.28""","62° 31' 7.08""",NA,NA,0,556,1.53,2.65,26.38,1.18,7.9,81.93,17.07,1,Arenoso franco,21.81,27.97,4.31,0,NA,NA,NA,45.91,0.032 mm - N° 450 (ASTM),1.68,2.15,7.9,0.5,323,1,0.3,9,0.14,0.49,56.6,6.13,70.7,12.9,20,2.3,0.7,3.7,1.91,39,0.7,0.053,3.8,2.47,0.05,0.1,2.54,0.3,0.07,0.5,8.12,27.4,21.6,0.05,0.42,294,250,0.51,28.3,0.3,18.4,0.25,0.102,14.7,0.47,6.3,5e-4,18.9,5.6,0.05,0.078,0.15,0.025,0.01,0.4,0.027,10,0.05,0.9,31,300,68.6,5.1,-22.378133,-62.518633,sed_2017_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2017-12-17,7:00,December 2017,DE - CTN,Pilcomayo,"22° 22' 41.28""","62° 31' 7.08""",NA,NA,0,556,1.53,2.65,26.38,1.18,7.9,81.93,17.07,1,Arenoso franco,21.81,27.97,4.31,0,NA,NA,NA,45.91,0.063 mm - N° 230 (ASTM),1.52,1.95,6.9,0.5,174,0.8,0.26,7,0.03,0.46,29.7,4.62,82.6,21.5,16,1.5,0.6,3.2,1.88,39.8,0.5,0.042,2.5,3.07,0.05,0.05,2,0.2,0.06,0.4,5.79,14,18.8,0.05,0.37,236,300,0.4,16.5,0.3,16.2,0.25,0.085,13.5,0.43,3.5,5e-4,17.9,3.3,0.05,0.089,0.15,0.025,0.01,0.3,0.024,4.5,0.05,0.5,24,300,62.4,3,-22.378133,-62.518633,sed_2017_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2017-12-17,7:00,December 2017,DE - CTN,Pilcomayo,"22° 22' 41.28""","62° 31' 7.08""",NA,NA,0.5,577,1.52,2.63,24.67,0.93,8,78.93,20.07,1,Arenoso franco,24.14,33.33,4.99,0,NA,NA,NA,37.54,0.032 mm - N° 450 (ASTM),1.56,2.28,7.8,0.5,335,0.9,0.32,8,0.11,0.46,48.4,6.06,64,12.6,19,2.1,0.8,3.5,1.75,38.5,0.7,0.053,3.5,2.13,0.05,0.05,2.54,0.3,0.07,0.5,7.8,23.6,20.9,0.05,0.41,285,190,0.5,25.2,0.3,18.4,0.25,0.102,14.7,0.46,5.6,5e-4,18.6,5.2,0.05,0.072,0.15,0.025,0.01,0.4,0.026,8.2,0.05,0.8,30,300,65.9,4.4,-22.378133,-62.518633,sed_2017_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2017-12-17,7:00,December 2017,DE - CTN,Pilcomayo,"22° 22' 41.28""","62° 31' 7.08""",NA,NA,0.5,577,1.52,2.63,24.67,0.93,8,78.93,20.07,1,Arenoso franco,24.14,33.33,4.99,0,NA,NA,NA,37.54,0.063 mm - N° 230 (ASTM),1.4,2.13,7.2,0.5,173,0.7,0.25,7,0.05,0.46,32.3,3.81,89.4,10.1,15,1.6,0.6,3,1.88,38,0.6,0.047,2.7,2.81,0.05,0.05,2.02,0.3,0.06,0.4,6.19,15.3,18.3,0.05,0.35,229,280,0.44,17.2,0.3,15.4,0.25,0.079,13.4,0.41,3.8,5e-4,16.4,3.7,0.05,0.09,0.13,0.025,0.01,0.3,0.022,4.6,0.05,0.5,24,300,55.5,3,-22.378133,-62.518633,sed_2017_clean.xlsx,NA,NA,NA
El Puente,2017-12-15,10:10,December 2017,DE - CTN,San Juan del Oro,"21° 14' 21,42""","65° 12' 31.86""",0.262,0.219,2,2110,1.04,2.59,52.15,5.8,7.7,71.93,25.07,3,Franco arenoso,0.78,2.88,3.03,0,NA,NA,NA,93.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.239167,-65.20885,sed_2017_clean.xlsx,NA,NA,NA
Palca Grande,2017-12-15,8:00,December 2017,DE - CTN,Tumusla,"20° 44' 32,34""","65° 14' 26.52""",0.448,1.975,0,788,1.55,2.72,34.79,1.72,7.9,85.93,10.07,4,Arenoso franco,6.11,16.16,23.09,5.87,NA,NA,NA,48.77,0.125 mm - N° 120 (ASTM),1.61,5.8,20.3,0.5,234,1.1,0.81,9,0.14,0.41,36.3,3.94,96.3,17.9,14,1.4,0.5,3.1,4.18,50.4,0.6,0.045,2.6,2.74,0.05,0.05,2.92,0.2,0.1,0.3,4.88,17.3,22.9,0.05,0.31,343,370,1.29,19.6,0.2,22.8,0.25,0.161,21.8,0.42,4.4,5e-4,16.3,3.4,0.05,0.104,0.16,0.025,0.02,0.3,0.018,4.3,0.05,0.6,19,300,100,2,-20.742222,-65.2407,sed_2017_clean.xlsx,NA,NA,NA
Colavi - Canutillos,2017-12-14,12:30,December 2017,DE - CTN,Colavi,"19° 19' 16.8""","65° 33' 6.54""",0.403,0.025,1,434,1.68,2.57,26.1,1.18,4.8,92.93,6.07,1,Arena,10.29,28.73,22.77,23.77,NA,NA,NA,14.44,0.063 mm - N° 230 (ASTM),1.08,4.4,28.2,0.5,216,0.8,0.71,15,0.26,0.07,10.6,8.16,94.9,49.5,11,0.8,0.3,2.2,4.13,21.8,0.2,0.023,1.1,1.45,0.05,0.05,2.77,0.1,0.44,0.2,2.92,4.9,6.5,0.05,0.13,759,110,0.45,5.36,0.05,9.3,0.25,1.31,23.1,0.47,1.2,5e-4,19.8,1.3,0.05,0.038,0.22,0.025,0.01,0.1,0.006,2.6,0.05,0.6,14,115,111,1.6,-19.321333,-65.551817,sed_2017_clean.xlsx,NA,NA,NA
Colavi - Canutillos,2017-12-14,12:30,December 2017,DE - CTN,Colavi,"19° 19' 16.8""","65° 33' 6.54""",0.403,0.025,1,434,1.68,2.57,26.1,1.18,4.8,92.93,6.07,1,Arena,10.29,28.73,22.77,23.77,NA,NA,NA,14.44,0.125 mm - N° 120 (ASTM),1.14,4.32,21.8,0.5,300,0.8,0.82,15,0.09,0.07,13.3,9.35,105,37.4,11,0.9,0.3,2.4,4.24,24.1,0.3,0.023,1.3,1.3,0.05,0.05,2.28,0.1,0.3,0.2,3.25,6.3,7.4,0.05,0.12,459,110,0.41,6.73,0.05,8,0.25,0.822,19.2,0.51,1.5,5e-4,21,1.4,0.05,0.047,0.2,0.025,0.01,0.2,0.007,3.2,0.05,0.7,15,124,69.9,1.8,-19.321333,-65.551817,sed_2017_clean.xlsx,NA,NA,NA
Colavi - Canutillos,2017-12-14,12:30,December 2017,DE - CTN,Colavi,"19° 19' 16.8""","65° 33' 6.54""",0.403,0.025,1,434,1.68,2.57,26.1,1.18,4.8,92.93,6.07,1,Arena,10.29,28.73,22.77,23.77,NA,NA,NA,14.44,0.250 mm - N° 060 (ASTM),1.44,5.21,19.2,0.5,308,1.1,0.78,17,0.17,0.09,13.6,9.7,79.7,55.9,14,0.9,0.4,3.2,5.89,19.8,0.3,0.032,1.5,1.89,0.05,0.05,3.41,0.2,0.43,0.2,3.92,6.3,8.5,0.05,0.17,949,100,0.6,7.2,0.05,11.9,0.25,0.483,29.5,0.63,1.5,5e-4,26.3,1.5,0.05,0.038,0.29,0.025,0.01,0.2,0.004,3.3,0.05,0.7,18,111,116,1.4,-19.321333,-65.551817,sed_2017_clean.xlsx,NA,NA,NA
Tarapaya,2017-12-14,8:15,December 2017,DE - CTN,Tarapaya,"19° 28' 18.6""","65° 47' 39.18""",0.397,0.29,0,3410,1.29,2.47,33.95,4.42,7.2,86.93,12.07,1,Arena,13.32,24.8,20.81,20.8,NA,NA,NA,20.27,0.063 mm - N° 230 (ASTM),2.61,16.8,115,0.5,161,1.3,2.6,23,6.93,0.95,28.3,16.3,35.3,101,17,1.9,0.8,5,20.2,81.6,0.5,0.098,2.7,6.72,0.05,0.05,2.63,0.3,1.7,0.4,7.3,13.4,30.3,0.05,0.62,281,470,1.05,16.2,1.5,13.1,3,3.23,104,0.9,3.5,5e-4,41.8,3.3,0.05,0.176,0.73,0.025,0.01,0.3,0.09,5.1,0.05,1.1,41,300,1520,3.4,-19.471833,-65.794217,sed_2017_clean.xlsx,NA,NA,NA
Tarapaya,2017-12-14,8:15,December 2017,DE - CTN,Tarapaya,"19° 28' 18.6""","65° 47' 39.18""",0.397,0.29,0,3410,1.29,2.47,33.95,4.42,7.2,86.93,12.07,1,Arena,13.32,24.8,20.81,20.8,NA,NA,NA,20.27,0.125 mm - N° 120 (ASTM),2.82,23.8,139,0.5,190,1.3,2.38,22,9.71,1.14,29.3,12.2,49.3,111,18,1.9,0.8,5.3,18.6,91.9,0.6,0.095,2.6,6.77,0.05,0.1,2.9,0.3,1.82,0.4,7.57,13.5,26.7,0.05,0.73,314,520,1.01,16.1,1.7,15,6.8,3.01,128,0.96,3.6,5e-4,40.9,3.2,0.05,0.237,0.76,0.025,0.01,0.3,0.094,5.4,0.05,1,43,300,1850,4.9,-19.471833,-65.794217,sed_2017_clean.xlsx,NA,NA,NA
Tarapaya,2017-12-14,8:15,December 2017,DE - CTN,Tarapaya,"19° 28' 18.6""","65° 47' 39.18""",0.397,0.29,0,3410,1.29,2.47,33.95,4.42,7.2,86.93,12.07,1,Arena,13.32,24.8,20.81,20.8,NA,NA,NA,20.27,0.250 mm - N° 060 (ASTM),2.64,26.9,169,0.5,249,1.4,2.92,26,13.1,0.97,30,13.1,36.8,198,18,1.9,0.7,4.6,21.5,75.7,0.6,0.106,2.7,5.7,0.05,0.05,2.87,0.3,2.36,0.4,7.48,14.4,32.5,0.05,0.65,341,670,1.12,16.2,2,16.4,1.5,3.6,159,0.86,3.5,5e-4,37.2,3.1,0.05,0.2,0.81,0.025,0.03,0.3,0.057,3.8,0.05,1.2,39,300,2390,0.9,-19.471833,-65.794217,sed_2017_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2017-12-13,12:15,December 2017,DE - CTN,Pilcomayo,"19° 7' 56.52""","65° 34' 22.08""",0.405,1.682,0,516,1.56,2.7,27.01,0.47,8.5,94.93,3.07,2,Arena,4.09,31.61,46.97,12.67,NA,NA,NA,4.66,0.063 mm - N° 230 (ASTM),1.37,4.42,11.2,0.5,312,0.8,0.23,12,0.2,0.88,20.3,6.79,106,10.3,11,1.4,0.5,3.1,1.61,65,0.4,0.045,2,1.24,0.05,0.05,1.76,0.2,0.09,0.3,5.57,9.6,13.3,0.05,0.3,355,270,0.46,10.7,0.3,9.6,0.25,0.134,14.4,0.42,2.4,5e-4,16.6,2.4,0.05,0.112,0.22,0.025,0.01,0.2,0.022,3.9,0.05,0.6,19,300,76.6,3.2,-19.132367,-65.5728,sed_2017_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2017-12-13,12:15,December 2017,DE - CTN,Pilcomayo,"19° 7' 56.52""","65° 34' 22.08""",0.405,1.682,0,516,1.56,2.7,27.01,0.47,8.5,94.93,3.07,2,Arena,4.09,31.61,46.97,12.67,NA,NA,NA,4.66,0.125 mm - N° 120 (ASTM),1.4,2.77,10.5,0.5,172,0.8,0.19,11,0.15,0.72,17.2,6.02,91.5,9.1,10,1.1,0.4,2.8,1.46,57.7,0.3,0.033,1.5,2.55,0.05,0.05,1.57,0.2,0.09,0.3,4.33,8.3,13.7,0.05,0.31,333,310,0.4,9.08,0.5,9,0.25,0.156,12.4,0.45,2,5e-4,18.3,1.9,0.05,0.116,0.23,0.025,0.01,0.2,0.033,3.4,0.05,0.5,20,300,79.3,2.8,-19.132367,-65.5728,sed_2017_clean.xlsx,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,2017-12-13,12:15,December 2017,DE - CTN,Pilcomayo,"19° 7' 56.52""","65° 34' 22.08""",0.405,1.682,1,589,1.53,2.77,25.05,0.75,8.3,88.93,8.07,3,Arena,14.46,46.17,17.95,1.15,NA,NA,NA,20.27,0.063 mm - N° 230 (ASTM),1.62,2.93,9.5,0.5,252,0.9,0.21,15,0.16,1.04,19.2,7.51,65.2,9.3,12,1.3,0.5,3.2,1.29,74.2,0.4,0.04,1.9,2.52,0.05,0.05,1.72,0.2,0.07,0.3,5.15,9.1,16.3,0.05,0.34,348,420,0.46,10.3,0.6,10.4,0.25,0.102,11.9,0.5,2.2,5e-4,20.6,2.2,0.05,0.133,0.27,0.025,0.01,0.2,0.038,3.8,0.05,0.6,22,300,65.1,3.8,-19.132367,-65.5728,sed_2017_clean.xlsx,NA,NA,NA
San Josecito,2017-10-26,14:45,October 2017,DE - CTN,Pilaya,"21° 9' 8.46""","64° 14' 0.18""",0.596,3.645,1.5,1692,1.26,2.66,36.2,2.93,7.5,68.93,28.08,3,Franco arenoso,2.82,3.24,2.56,2.48,NA,NA,NA,88.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.15235,-64.233383,sed_2017_clean.xlsx,NA,NA,NA
Puente Aruma - Automática,2017-10-26,8:00,October 2017,DE - CTN,Pilcomayo,"20° 54' 49,74""","64° 6' 37.80""",0.278,18.287,0,992,1.18,2.61,31,1.6,7.6,65.93,31.08,3,Franco arenoso,12.58,2.13,0.21,0,NA,NA,NA,85.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.913611,-64.1105,sed_2017_clean.xlsx,NA,NA,NA
Puente Aruma - Automática,2017-10-26,8:00,October 2017,DE - CTN,Pilcomayo,"20° 54' 49,74""","64° 6' 37.80""",0.278,18.287,0.5,1692,1.25,2.68,36,1.85,7.5,64.93,33.08,2,Franco arenoso,9.1,1.8,0.16,0,NA,NA,NA,88.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.913611,-64.1105,sed_2017_clean.xlsx,NA,NA,NA
Puente Aruma - Automática,2017-10-26,8:00,October 2017,DE - CTN,Pilcomayo,"20° 54' 49,74""","64° 6' 37.80""",0.278,18.287,1,1835,1.24,2.77,33.9,1.85,7.5,68.93,24.08,7,Franco arenoso,8,1.48,0,0,NA,NA,NA,90.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-20.913611,-64.1105,sed_2017_clean.xlsx,NA,NA,NA
Villamontes,2017-10-25,9:30,October 2017,DE - CTN,Pilcomayo,"21° 15' 32.46""","63° 30' 42.24""",0.237,22.892,0,1419,0.8,2.67,39.6,2.65,7.5,69.93,26.08,4,Franco arenoso,1.81,2.06,1.7,0.16,NA,NA,NA,94.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-21.259017,-63.511733,sed_2017_clean.xlsx,NA,NA,NA
Villamontes,2017-10-25,9:30,October 2017,DE - CTN,Pilcomayo,"21° 15' 32.46""","63° 30' 42.24""",0.237,22.892,1,1096,1.31,2.75,37.6,1.33,7.9,73.93,23.08,3,Arenoso franco,0.82,6.32,21.7,1.5,NA,NA,NA,69.66,0.125 mm - N° 120 (ASTM),0.78,4.71,7.4,0.5,74.7,0.4,0.23,4,0.13,0.3,13.7,1.51,170,6,9,1,0.4,1.5,3.91,22.1,0.3,0.029,1.4,1.74,0.05,0.05,1.02,0.2,0.37,0.2,3.99,6.3,10.1,0.05,0.19,170,50,0.27,7.62,0.05,8.3,0.25,0.293,11.4,0.22,1.6,5e-4,8.5,1.8,0.05,0.06,0.07,0.025,0.01,0.2,0.008,2.3,0.05,0.3,12,134,33.6,1.6,-21.259017,-63.511733,sed_2017_clean.xlsx,NA,NA,NA
Misión La Paz - SNIH,2017-10-24,17:00,October 2017,DE - CTN,Pilcomayo,"22° 22' 39.66""","62° 31' 6.36""",NA,NA,0,1773,1.37,2.59,30.5,1.18,7.6,72.93,25.08,2,Arenoso franco,25.65,16.88,2.55,NA,NA,NA,NA,54.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-22.377683,-62.518433,sed_2017_clean.xlsx,NA,NA,NA
María Cristina,2017-10-24,13:55,October 2017,DE - CTN,La Estrella,"22° 40' 20.1""","62° 12' 28.44""",NA,NA,0,761,1.51,2.59,22.7,0.58,8,87.93,12.08,0,Arena,17.45,54.88,4.3,NA,NA,NA,NA,23.37,0.063 mm - N° 230 (ASTM),1.3,5.14,9.5,0.5,136,0.6,0.31,6,0.12,0.41,23.4,3.5,63.7,8.6,13,1.4,0.6,2.7,2.49,34.3,0.5,0.041,2,2.6,0.05,0.05,1.74,0.2,0.43,0.3,5.51,10.9,17.3,0.05,0.32,196,5,0.34,12.4,0.2,14.2,0.25,0.34,14.7,0.35,2.8,5e-4,14.1,2.8,0.05,0.071,0.11,0.025,0.01,0.2,0.015,3.8,0.05,0.5,18,300,57.3,2.5,-22.67225,-62.2079,sed_2017_clean.xlsx,NA,NA,NA
El Potrillo,2017-10-24,9:20,October 2017,DE - CTN,La Estrella,"23° 8' 15.72""","61° 57' 48.96""",NA,NA,0,2080,1.32,2.56,30.9,1.33,7.8,67.93,30.08,2,Franco arenoso,16.06,8.37,0.81,NA,NA,NA,NA,74.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-23.1377,-61.9636,sed_2017_clean.xlsx,NA,NA,NA
