Station,Code,Date,Time,Campaign,Responsible,Institution,River,Basin,Latitude,Longitude,Latitude Decimal,Longitude Decimal,Average Velocity (m/s),Flow (m3/s),Resistivity (Ohm.cm),Partial Pressure (mm Hg),pH,pH (mV),Specific Conductivity (T ref. 25C) (uS/cm),Salinity (Sal),Temperature (C),Dissolved Oxygen (mg/l O2),Oxygen Saturation (%),Turbidity (NTU),Total Solids (mg/l),Total Dissolved Solids (mg/l),Total Suspended Solids (mg/l),Color (u PtCo),Total Hardness (mg/l CaCO3),Phenolphthalein Alkalinity (mg/l CaCO3),Total Alkalinity (mg/l CaCO3),Chlorides (mg/l Cl-),Sulfates (mg/l SO4),Dissolved Calcium (mg/l Ca),Dissolved Magnesium (mg/l Mg),Dissolved Sodium (mg/l Na),Dissolved Potassium (mg/l K),Total Calcium (mg/l Ca),Total Magnesium (mg/l Mg),Total Sodium (mg/l Na),Total Potassium (mg/l K),Total Phosphorus (mg/l PO4),Dissolved Phosphorus (mg/l PO4),Ammoniacal Nitrogen (mg/l NH4),Nitrite (mg/l NO2),Nitrate (mg/l NO3),Total Kjeldahl Nitrogen (mg/l N),Biochemical Oxygen Demand (mg/l O2),Chemical Oxygen Demand (mg/l O2),Dissolved Organic Carbon (mg/l),Total Coliforms (CFU/100 ml),Fecal Coliforms (CFU/100 ml),Total Coliforms (MPN) (MPN/100 ml),Fecal Coliforms (MPN) (MPN/100 ml),Total Mesophilic Aerobes (CFU/100 ml),Dissolved Bismuth (ug/l Bi),Total Bismuth (ug/l Bi),Dissolved Thallium (ug/l Tl),Total Thallium (ug/l Tl),Dissolved Chromium (ug/l Cr),Dissolved Manganese (ug/l Mn),Dissolved Nickel (ug/l Ni),Dissolved Copper (ug/l Cu),Dissolved Zinc (ug/l Zn),Dissolved Arsenic (ug/l As),Dissolved Cadmium (ug/l Cd),Dissolved Lead (ug/l Pb),Dissolved Silver (ug/l Ag),Dissolved Mercury (ug/l Hg),Dissolved Iron (ug/l Fe),Dissolved Boron (ug/l B),Dissolved Selenium (ug/l Se),Total Chromium (ug/l Cr),Total Manganese (ug/l Mn),Total Nickel (ug/l Ni),Total Copper (ug/l Cu),Total Zinc (ug/l Zn),Total Arsenic (ug/l As),Total Cadmium (ug/l Cd),Total Lead (ug/l Pb),Total Silver (ug/l Ag),Total Mercury (ug/l Hg),Total Iron (ug/l Fe),Total Boron (ug/l B),Total Selenium (ug/l Se),Cyanides (mg/l CN-),Sulfides (mg/l S),Phenols (mg/l C6H6O),Total Hydrocarbons (mg/l),Suspended Thallium (mg/kg Tl),Suspended Selenium (mg/kg Se),Suspended Zinc (mg/kg Zn),Suspended Lead (mg/kg Pb),Suspended Arsenic (mg/kg As),Suspended Bismuth (mg/kg Bi),Suspended Boron (mg/kg B),Suspended Cadmium (mg/kg Cd),Suspended Copper (mg/kg Cu),Suspended Chromium (mg/kg Cr),Suspended Iron (mg/kg Fe),Suspended Manganese (mg/kg Mn),Suspended Nickel (mg/kg Ni),Suspended Silver (mg/kg Ag),data_source,Total Mesophilic Aerobes (MPN) (MPN/100 ml),Suspended Mercury (mg/kg Hg),Fluorides (mg/l F),pH in laboratory,Settleable Solids (ml/l),Total Organic Carbon (mg/l),Total Mesophilic Aerobes (MPN/100 ml),Total Coliforms (MPN/100 ml),Fecal Coliforms (MPN/100 ml)
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2020-12-15,14:45,December 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,"19° 7' 56.22""","65° 34' 11.76""",-19.1323,-65.5699,0.863,0,1258,142.8,8.36,-79.6,794,0.3,26.4,5.62,98.9,78.3,710,625,85,NA,400,10.3,215.5,10.16,164.2,25.81,63.7,20.46,11.38,43.81,59.56,18.1,10.9,NA,NA,NA,NA,NA,NA,2.5,1,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,0.5,0.25,0.5,2.5,0.25,50,200,0.5,5,100,1,5,25,0.5,0.25,1,2.5,0.25,4000,200,0.5,NA,5e-4,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,47058.82,1176.47,11.76,NA,water_2020_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2020-12-15,13:45,December 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 56.7""","65° 34' 21.48""",-19.1324,-65.5726,0.862,4,902,143.9,8.38,-81.7,1108,0.5,23.8,5.91,98.85,343,750,718,32,NA,252,16,161.5,162.63,127.7,56.26,26.31,121.87,16.19,56.71,24.38,105.03,14.51,NA,NA,NA,NA,NA,NA,2.5,5,NA,NA,NA,NA,NA,NA,5,5,25,25,5,200,1,5,25,18,0.25,0.5,2.5,0.25,50,1600,0.5,5,400,5,5,210,31,0.25,9,2.5,0.25,11000,1800,0.5,NA,5e-4,NA,NA,NA,NA,6562.5,NA,406.25,NA,6250,NA,NA,NA,343750,6250,125,NA,water_2020_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio - Potosí,BSA-030,2020-07-23,10:30,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.7,65 48 11.9,-19.5783,-65.8033,NA,NA,NA,NA,NA,NA,867,NA,NA,NA,NA,121,629,539,90,2.5,228,NA,NA,57.1,74,45.4,9.8,25.8,13.8,49.1,11.2,82.5,14.2,NA,NA,24.1,0.013,0.4,NA,NA,110,NA,NA,NA,NA,NA,NA,5,5,25,25,5,800,6,13,4000,6,5,0.5,2.5,0.25,50,300,0.5,5,900,7,73,7000,55,13,15,2.5,2.9,7000,300,5,0.002,NA,0.064,NA,NA,55.56,33333.33,13.33,544.44,NA,0,88.89,666.67,NA,77777.78,1111.11,11.11,NA,water_2020_clean.xlsx,NA,32.22,NA,7.248,3,NA,NA,NA,NA
Tarapaya,BTA-050,2020-07-23,10:00,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.7""","65° 47' 38.7""",-19.4719,-65.7941,NA,NA,NA,NA,NA,NA,1105,NA,NA,NA,NA,473,1074,745,329,28,213,NA,NA,70.6,180,37.4,12.8,88,28.1,39.9,14.7,100,80.2,NA,NA,53.3,0.012,0.8,NA,NA,360,NA,4600000,1500000,NA,NA,NA,5,5,25,25,5,1700,16,26,11000,2,30,0.5,2.5,3,50,300,0.5,5,1900,24,624,25000,397,79,632,9,5.2,53000,300,7,0.002,NA,0.062,NA,NA,21.28,42553.19,1835.56,1200.61,NA,0,148.94,1817.63,NA,161094.22,607.9,24.32,27.36,water_2020_clean.xlsx,NA,6.69,NA,6.883,14,NA,NA,NA,NA
San Antonio - Potosí,BSA-030,2020-07-20,8:41,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,19 34 41.7,65 48 11.9,-19.5783,-65.8033,NA,NA,NA,NA,6.61,NA,1360,NA,5.4,NA,NA,222,1137,977,160,7,413,NA,NA,76.9,370,74.6,21.4,101,29.2,83.6,23,104,32.2,NA,NA,45.7,0.143,1.2,NA,65,100,NA,NA,46000000,NA,NA,NA,5,5,25,25,5,2900,12,35,11000,1,39,0.5,2.5,0.25,100,400,0.5,5,3300,34,478,36000,144,83,21,2.5,1.7,25000,400,6,0.002,NA,0.024,NA,NA,37.5,156250,NA,893.75,NA,0,275,2768.75,NA,155625,2500,137.5,NA,water_2020_clean.xlsx,NA,10.63,NA,6.99,11,NA,NA,NA,NA
Tarapaya,BTA-050,2020-07-20,7:56,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.7""","65° 47' 38.7""",-19.4719,-65.7941,NA,NA,NA,NA,7.08,NA,810,NA,4.5,NA,NA,117,687,574,113,5,231,NA,NA,61,73,45.4,9.5,90,17.2,54.4,10,96,20.4,NA,NA,20,0.025,0.9,NA,86,124,NA,NA,4300000,NA,NA,NA,5,5,25,25,5,800,7,10,3110,6,0.25,0.5,2.5,0.25,50,300,0.5,5,900,8,110,7460,75,19,24,2.5,1.9,10000,300,6,0.002,NA,0.022,NA,NA,53.1,38495.58,60.18,610.62,NA,0,168.14,884.96,NA,88495.58,884.96,8.85,NA,water_2020_clean.xlsx,NA,16.81,NA,7.788,3.1,NA,NA,NA,NA
Tarapaya,BTA-050,2020-07-15,10:00,July 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.7""","65° 47' 38.7""",-19.4719,-65.7941,NA,NA,NA,NA,NA,NA,928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2020_clean.xlsx,NA,NA,NA,6.904,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2020-03-18,8:47,March 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 17.58""","65° 33' 7.32""",-19.3216,-65.552,NA,NA,3380,136.85,5.46,82.2,295,0,9.6,7.42,100.55,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25,25,5,4000,28,50,590,0.5,2,0.5,2.5,0.25,800,50,0.5,80,11000,105,361,1130,34,3,140,2.5,0.25,115000,300,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2020_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2020-03-17,13:00,March 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 32.34""","65° 14' 25.26""",-20.7423,-65.2403,NA,NA,1352,155.35,8.06,-61.9,738,0.3,21.7,6.62,100.3,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,2,5,25,2,0.25,0.5,2.5,0.25,50,700,0.5,65,6000,144,114,1150,40,5,93,2.5,0.25,84000,700,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2020_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
El Puente,BEP-100,2020-03-17,11:00,March 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 14' 20.28""","65° 12' 30.66""",-21.239,-65.2085,NA,NA,2085,146.8,8.12,-66.3,480.5,0.1,19.5,6.49,94,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,2,0.25,0.5,2.5,0.25,50,1000,0.5,140,3000,139,130,670,100,2,192,2.5,0.25,173000,1100,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2020_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2020-03-15,8:20,March 2020,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Cuenca Baja,"22° 22' 41.22""","62° 31' 6.9""",-22.3781,-62.5186,NA,NA,1501,169.8,7.84,-52,666,0.3,27.9,6.53,86,1650,7916,424,7508,NA,218.51,8.52,43.67,132,100.31,54.2,16.7,56.8,5.1,78,19.8,59,6.3,NA,NA,NA,NA,NA,NA,15.3,78,NA,NA,NA,NA,NA,NA,5,5,25,25,5,25,0.5,5,25,2,0.25,0.5,2.5,0.25,100,500,0.5,93,2000,85,86,370,45,0.8,103,2.5,0.25,119000,500,4,NA,NA,NA,NA,NA,0.53,49.28,13.04,5.73,NA,0,0.11,11.45,12.39,15836.44,266.38,11.32,NA,water_2020_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chuquiago,BCH-060,2021-12-02,15:20,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,San Juan del Oro,Unidad 5,"21° 33' 41.172""","65° 38' 51.504""",-21.5614,-65.6476,NA,NA,806,189.7,8.55,-105.5,1242,0.6,25.5,7.58,131.6,21.1,1075,1018,55,5,480,6,138.5,60.66,494.3,96.86,56.18,72.92,7.56,95.19,59.32,75.89,7.71,0.2,0.1,0.48,0.01,1.52,4.34,13,17,NA,42,20,NA,NA,320,5,5,25,25,5,25,0.5,5,25,2,0.25,0.5,2.5,0.25,50,2000,0.5,5,25,0.5,5,25,3,0.25,1,2.5,0.25,900,3000,0.5,0.001,5e-4,0.048,NA,NA,NA,NA,NA,18.18,NA,18181.82,NA,NA,NA,16363.64,NA,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
La Angostura,BTP-090,2021-12-02,13:45,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tupiza,Unidad 5,"21° 30' 17.01""","65° 42' 18.84""",-21.5047,-65.7052,NA,NA,644,NA,8.71,-115.5,1553,0.7,27.5,NA,NA,7.57,1365,1348,18,12,726,3,157.5,64.93,639.1,127.76,98.43,77.38,9.48,128.89,102.05,78.12,9.63,1.3,1.1,0.84,12.19,22.68,9.94,21,27,NA,420,360,NA,NA,4,5,5,25,25,5,100,0.5,5,25,1,0.25,0.5,2.5,0.25,50,1800,0.5,5,100,0.5,5,25,1,0.25,0.5,2.5,0.25,50,2000,0.5,0.001,5e-4,0.034,NA,NA,NA,NA,NA,0,NA,11111.11,NA,NA,NA,NA,0,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cotagaita,BCO-070,2021-12-02,9:35,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Cotagaita,Unidad 4,"20° 49' 14.874""","65° 40' 3.54""",-20.8208,-65.6676,0.378,1,555,152.4,8.08,-77.45,1803,0.9,20.9,6.58,101.3,33.6,1809,1776,24,0.025,932,8.5,81,42.72,994.3,167.77,133.47,61.87,8.4,169.32,137.84,64.81,8.5,0.2,0.2,0.68,0.01,1.28,7.14,12,15,NA,600,540,NA,NA,1,5,5,25,25,5,400,14,5,25,2,0.25,0.5,2.5,0.25,50,2000,0.5,5,400,17,5,25,3,0.25,0.5,2.5,0.25,800,2200,0.5,0.001,5e-4,0.048,NA,NA,NA,NA,NA,41.67,NA,8333.33,NA,NA,NA,33333.33,0,125,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Misión La Paz - SNIH,AML-170,2021-12-02,9:20,December 2021,SIPH,Subsecretaría de Recursos Hídricos de la Nación  Argentina,Pilcomayo,Cuenca Baja,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,840,NA,NA,6.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,272,48.9,20,46.5,4,NA,NA,NA,NA,3603,36.3,0.04,0.07,5,NA,9,NA,5.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.35,6.1,0.85,1.85,23.3,5.5,0.6,2.5,3.1,NA,204.6,327,6.05,283.2,4549.8,218,199.6,1008.7,5.5,23.1,367,3.1,NA,270578,460,6.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tumusla,BTU-080,2021-12-02,7:40,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 29' 12.834""","65° 37' 8.154""",-20.4869,-65.6189,0.554,2,1358,147.9,8.38,-93.8,736,0.3,17.5,6.79,97.1,235,800,558,240,6,268,4,118,34.17,236.1,52.41,33.49,48.78,6.52,52.36,38.38,49.16,6.97,0.34,0.3,0.24,0.01,1.28,5.04,10,13,NA,100,40,NA,NA,0,5,5,25,25,5,25,0.5,5,25,3,0.25,0.5,2.5,0.25,50,900,0.5,5,93000,5,5,25,5,0.25,8,2.5,0.25,9000,1000,0.5,0.001,5e-4,0.04,NA,NA,NA,NA,6.17,8.33,NA,416.67,NA,NA,NA,37500,387500,20.83,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Yocalla,BYO-025,2021-12-01,14:20,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 1,"19° 23' 50.19""","65° 54' 27.48""",-19.3973,-65.9076,0.364,2,1274,NA,7.67,-62.9,785,0.3,24.4,5.39,98.2,796,1295,490,801,45,106,0.05,67.5,159.24,48.9,17.07,4.01,99.95,7.36,20.22,4.05,106.82,7.95,0.58,0.52,0.26,0.01,4.34,6.44,12,16,NA,200,90,NA,NA,0,5,5,25,25,5,25,0.5,5,25,9,0.25,0.5,2.5,0.25,50,900,0.5,13,400,10,15,50,14,0.25,18,2.5,0.25,22000,1100,0.5,0.001,0.004,0.027,NA,NA,NA,62.42,13.28,6.24,NA,249.69,NA,18.73,16.23,27465.67,499.38,12.48,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tarapaya,BTA-050,2021-12-01,11:50,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tarapaya,Unidad 1,"19° 28' 18.492""","65° 47' 39.696""",-19.471800000000002,-65.7944,0.625,1,819,129.9,7.22,-29.6,1220,0.6,21.7,5.53,94.7,209,1109,936,171,18,428,0.05,93,72.79,455.2,99.73,24.64,95.54,14.82,103.6,25.68,97.01,14.87,0.2,0.1,36.12,0.22,2.26,7.14,39,52,NA,20,8,NA,NA,16,5,5,25,25,5,2000,11,5,1000,40,0.25,0.5,2.5,0.25,50,300,0.5,5,2000,14,67,2000,164,5,46,2.5,0.25,14000,400,3,0.001,0.002,0.036,NA,NA,17.54,5847.95,182.34,725.15,NA,584.8,29.24,391.81,NA,81871.35,0,17.54,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
San Antonio - Potosí,BSA-030,2021-12-01,8:40,December 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Aljamayu,Unidad 1,"19° 34' 41.562""","65° 48' 11.73""",-19.5782,-65.8033,0.383,0,744,134.9,7.59,-48.6,1344,0.6,13.1,6.77,99.2,179,1072,860,212,33,328,0.05,188.5,89.19,349,87.02,24.64,75.15,27.66,87.08,26.38,75.89,27.78,0.34,0.3,58.02,0.01,2.87,8.54,79,102,NA,100,60,NA,NA,0,5,5,25,25,5,3000,20,40,3000,19,8,0.5,2.5,0.25,200,400,0.5,5,3000,24,186,13000,214,29,28,2.5,0.25,23000,400,4,0.001,5e-4,0.025,NA,NA,18.87,47169.81,1.6,919.81,NA,0,99.06,688.68,NA,107547.17,0,18.87,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Potosí - Naciente río La Ribera,BNR-010,2021-11-30,17:50,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,De la Ribera,Unidad 1,"19° 35' 51.54""","65° 43' 52.74""",-19.5977,-65.7313,NA,NA,3395,97,7.11,-21.2,294,0.1,13.9,4.63,75.4,2.94,197,190,5,13,146,2.5,144,2.9,4.3,26.04,3.49,8.41,3.46,33.54,3.77,8.86,4.2,0.2,0.1,0.33,0.01,1.15,0.14,24,32,NA,200,80,NA,NA,NA,5,5,25,25,5,320,0.5,5,25,6,0.25,0.5,2.5,0.25,2000,200,0.5,5,330,0.5,5,25,8,0.25,0.5,2.5,0.25,2000,200,0.5,0.001,5e-4,NA,NA,NA,NA,NA,NA,400,NA,0,NA,NA,NA,0,2000,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colavi - Canutillos,BC7-113,2021-11-30,14:35,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Colavi,Unidad 1,"19° 19' 16.86""","65° 33' 6.774""",-19.3214,-65.5519,0.527,0,2170,131.9,3.87,158.1,462,0.1,19.1,5.88,99.2,29,471,454,16,0.025,NA,0.05,0.025,2.05,230.9,51.6,21.62,1.11,2.99,59.57,22.32,1.39,3.04,0.2,0.09,0.77,0.01,1.28,5.74,7,9,NA,0,0,NA,NA,2,5,5,25,25,5,7000,34,502,1390,0.5,4.6,4,2.5,0.25,5000,60,0.5,5,7000,35,516,1400,4,4.7,5,2.5,0.25,8000,80,0.5,0.001,5e-4,0.023,NA,NA,NA,625,125.63,250,NA,1250,6.25,875,NA,187500,0,62.5,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Puente Mendez,BPM-120,2021-11-30,10:30,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 21' 26.622""","65° 10' 23.376""",-19.3574,-65.1732,NA,NA,1578,150,7.9,-67.6,633.5,0.2,19.6,6.62,94.8,1650,29271,474,28786,28,226,0.05,110.5,80.3,85.4,30.86,14.99,53.11,6.82,33.81,17.08,55.29,7.81,0.2,0.2,0.57,0.01,3.36,5.74,24,31,NA,200,99,NA,NA,0,5,5,25,25,5,25,0.5,5,25,2,0.25,0.5,2.5,0.25,50,500,0.5,195,18000,232,199,2000,89,6,203,2.5,1.2,340000,600,7,0.001,0.004,0.033,NA,NA,0.24,69.48,6.82,3.02,NA,3.47,0.21,6.91,6.77,11811.3,625.3,8.06,NA,water_2021_clean.xlsx,NA,0.04,NA,NA,NA,NA,NA,NA,NA
Viña Quemada,BVQ-122,2021-11-14,14:20,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,Unidad 2,"19° 24' 30.432""","64° 51' 37.206""",-19.4085,-64.8603,0.741,18,1778,141.4,7.82,-58.1,566,0.2,23.1,5.88,88.3,1650,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Tacobamba - Agua arriba confluencia Pilcomayo - Tacobamba,BTC-116,2021-11-11,11:00,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tacobamba,NA,"19° 8' 6.4""","65° 34' 4.99""",-19.1351,-65.5681,NA,NA,1282,138.8,8.33,-87,779,0.3,20.9,5.96,103.3,38.5,591,550,41,5,376,17.5,217.5,5.47,218.4,79.1,59.04,22.4,8.09,80.25,59.04,33.95,8.53,0.1,0.03,0.75,0.01,1.03,2.94,2.5,4.738,NA,50,20,NA,NA,2,5,5,25,25,5,25,0.5,5,25,0.5,0.25,0.5,2.5,0.25,50,100,0.5,5,25,0.5,5,25,0.5,0.25,0.5,2.5,0.25,600,100,0.5,0.001,5e-4,0.059,0.019,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,14634.15,NA,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pilcomayo - Agua arriba confluencia Pilcomayo - Tacobamba,BPT-118,2021-11-11,9:30,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Pilcomayo,NA,"19° 7' 56.34""","65° 34' 20.706""",-19.1323,-65.5724,0.763,3,912,156.9,8.54,-96.8,1096,0.5,15.8,7.46,104.8,71.2,765,698,67,14,216,10,156.5,174.79,110.1,22.62,20.84,142.15,13.03,26.49,21.27,146.07,13.28,0.2,0.1,0.73,0.01,5.94,5.74,2.5,5.739,NA,65,30,NA,NA,0,5,5,25,25,5,70,0.5,5,25,15,0.25,0.5,2.5,0.25,50,1900,0.5,5,200,0.5,5,120,18,0.25,6,2.5,0.25,2000,2100,0.5,0.001,5e-4,0.053,0.019,NA,NA,1791.04,NA,44.78,NA,2985.07,NA,NA,NA,29850.75,1940.3,NA,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
Palca Grande,BPG-110,2021-11-10,13:40,November 2021,Unidad de Monitoreo y Centro de Datos,Dirección Ejecutiva - Comisión Trinacional para el Desarrollo de la Cuenca del río Pilcomayo,Tumusla,Unidad 4,"20° 44' 31.974""","65° 14' 25.638""",-20.7422,-65.2405,0.268,2,705,191.3,8.66,-106.3,1418,0.7,26.2,7.53,124.9,5.24,1261,1258,3,7,656,12.5,134,52.62,664.9,118.98,93.84,74.89,9.22,120.02,96.32,75.51,9.51,0.1,0.1,0.82,0.01,0.005,7.14,NA,4,NA,NA,NA,NA,NA,NA,5,5,25,25,5,50,1,5,25,6,0.25,0.5,2.5,0.25,50,1400,0.5,5,80,1,5,25,7,0.25,0.5,2.5,0.25,100,1400,0.5,0.001,5e-4,0.037,0.019,NA,NA,NA,NA,333.33,NA,0,NA,NA,NA,33333.33,10000,0,NA,water_2021_clean.xlsx,NA,NA,NA,NA,NA,NA,NA,NA,NA
