regulator,parameter,abbr,value,unit,media,fraction,notes,source,hqcr
Bolivian Law 1333,Nitrogen,NA,12,mg/l,water,Total,Class B limit,NA,hq
Bolivian Law 1333,Nitrogen,NA,12,mg/l,water,Total,Class C limit,NA,hq
Bolivian Law 1333,Nitrogen,NA,12,mg/l,water,Total,Class D limit,NA,hq
Bolivian Law 1333,Phosphates,NA,0.4,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Phosphates,NA,0.5,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Phosphates,NA,1,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Phosphates,NA,1,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Selenium,NA,0.01,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Selenium,NA,0.01,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Selenium,NA,0.01,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Selenium,NA,0.05,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Silver,Ag,0.05,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Silver,Ag,0.05,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Silver,Ag,0.05,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Silver,Ag,0.05,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Sodium,NA,200,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Sodium,NA,200,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Sodium,NA,200,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Sodium,NA,200,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Sulfate,NA,300,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Sulfate,NA,400,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Sulfate,NA,400,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Sulfate,NA,400,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Tin,NA,2,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Tin,NA,2,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Tin,NA,2,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Tin,NA,2,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Uranium,NA,0.02,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Uranium,NA,0.02,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Uranium,NA,0.02,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Uranium,NA,0.02,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Vanadium,NA,0.1,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Vanadium,NA,0.1,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Vanadium,NA,0.1,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Vanadium,NA,0.1,mg/l,water,NA,Class D limit,NA,hq
Bolivian Law 1333,Zinc,Zn,0.2,mg/l,water,NA,Class A limit,NA,hq
Bolivian Law 1333,Zinc,Zn,0.2,mg/l,water,NA,Class B limit,NA,hq
Bolivian Law 1333,Zinc,Zn,5,mg/l,water,NA,Class C limit,NA,hq
Bolivian Law 1333,Zinc,Zn,5,mg/l,water,NA,Class D limit,NA,hq
