"","regulator","parameter","abbr","value","unit","media","limit","notes","source","hqcr","value_unif","unit_unif"
"40","OEHHA","Lead","Pb",8.5,"ng/kg-d","oral",NA,NA,"https://oehha.ca.gov/sites/default/files/media/downloads/crnr/appendixa.pdf","cr",8.5,"ng/kg-d"
"41","EPA","Lead","Pb",35,"mg/kg","sediment",NA,NA,NA,"hq",35,"mg/kg"
"42","EPA","Lead","Pb",400,"mg/kg","soil",NA,"For residential soil",NA,"hq",400,"mg/kg"
"43","EPA","Lead","Pb",0.01,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq",0.01,"mg/l"
"44","Bolivian Law 1333","Lithium","Li",2.5,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",2.5,"mg/l"
"45","Bolivian Law 1333","Magnesium","Mg",100,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",100,"mg/l"
"46","WHO","Manganese","Mn",0.08,"mg/L","water",NA,NA,"https://www.who.int/teams/environment-climate-change-and-health/water-sanitation-and-health/chemical-hazards-in-drinking-water","hq",0.08,"mg/l"
"47","CDC","Mercury","Hg",5,"ug/dL","human blood",NA,NA,"https://wwwn.cdc.gov/TSP/substances/ToxSearch.aspx","hq",5,"ug/dL"
"48","EPA","Mercury","Hg",0.13,"mg/kg","sediment",NA,NA,NA,"hq",0.13,"mg/kg"
"49","EPA","Mercury","Hg",23,"mg/kg","soil",NA,"For residential soil",NA,"hq",23,"mg/kg"
"50","Bolivian Law 1333","Mercury","Hg",0.001,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.001,"mg/l"
"51","OEHHA","Nickel","Ni",0.91,"mg/kg-d","oral",NA,NA,"https://oehha.ca.gov/sites/default/files/media/downloads/crnr/appendixa.pdf","cr",0.91,"mg/kg-d"
"52","USGS","Nickel","Ni",18,"mg/kg","sediment","TEL",NA,"https://pubs.usgs.gov/wri/wri034013/pdfs/wrir034013.pdf","hq",18,"mg/kg"
"53","Bolivian Law 1333","Nickel","Ni",0.05,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.05,"mg/l"
"54","EPA","Nitrate","NO3",10,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq",10,"mg/l"
"55","EPA","Nitrite","NO2",1,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq",1,"mg/l"
"56","Bolivian Law 1333","Nitrogen","N",5,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",5,"mg/l"
"57","Bolivian Law 1333","Oxygen Saturation",NA,80,"%","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",80,"mg/l"
"58","Bolivian Law 1333","Phosphates","PO4",0.4,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.4,"mg/l"
"59","Bolivian Law 1333","Selenium","Se",0.01,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.01,"mg/l"
"60","Bolivian Law 1333","Silver","Ag",0.05,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.05,"mg/l"
"61","Bolivian Law 1333","Sodium","Na",200,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",200,"mg/l"
"62","Bolivian Law 1333","Sulfate","SO4",300,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",300,"mg/l"
"63","Bolivian Law 1333","TDS",NA,1000,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",1000,"mg/l"
"64","EPA","Thallium","Tl",0.002,"mg/L","water",NA,NA,"https://www.epa.gov/ground-water-and-drinking-water/national-primary-drinking-water-regulations","hq",0.002,"mg/l"
"65","Bolivian Law 1333","Tin","Sn",2,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",2,"mg/l"
"66","Bolivian Law 1333","Uranium","U",0.02,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.02,"mg/l"
"67","Bolivian Law 1333","Vanadium","V",0.1,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.1,"mg/l"
"68","USGS","Zinc","Zn",123,"mg/kg","sediment","TEL",NA,"https://pubs.usgs.gov/wri/wri034013/pdfs/wrir034013.pdf","hq",123,"mg/kg"
"69","Bolivian Law 1333","Zinc","Zn",0.2,"mg/L","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",0.2,"mg/l"
"70","Bolivian Law 1333","pH high",NA,8.5,"u pH","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",8.5,"mg/l"
"71","Bolivian Law 1333","pH low",NA,6,"u pH","water","Class A","Class A limit","https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf","hq",6,"mg/l"
