regulator,parameter,abbr,value,unit,media,limit,notes,source,hqcr
Bolivian Law 1333,Chromium,Cr,0.05,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Chromium,Cr,0.6,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Chromium,Cr,0.05,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Chromium,Cr,1.1,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Cobalt,NA,0.1,mg/l,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Cobalt,NA,0.2,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Cobalt,NA,0.2,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Cobalt,NA,0.2,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,COD,NA,5,mg/l,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,COD,NA,10,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,COD,NA,40,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,COD,NA,60,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Color,NA,10,mg/l,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Color,NA,50,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Color,NA,100,mg/l,water,Class C,Class C limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Color,NA,200,mg/l,water,Class D,Class D limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Copper,Cu,0.05,mg/l,water,Class A,Class A limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
Bolivian Law 1333,Copper,Cu,1,mg/l,water,Class B,Class B limit,https://www.consultores-ambientales.com.bo/wp-content/uploads/2016/04/4.-Reglamento-en-Mareria-de-Contaminacion-Hidrica-RMCH.pdf,hq
