OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
122,1,122,2824,2824.453873119697,12200,-0.004017662173055214
123,1,123,2824,2824.0528449013923,12300,-0.00401028218304873
124,1,124,2823,2823.652545854322,12400,-0.00400299047070348
125,1,125,2824,2823.253846048139,12500,-0.003986998061827762
126,1,126,2822,2822.857585925412,12600,-0.003962601227271989
127,1,127,2822,2822.4637122177546,12700,-0.003938737076573488
128,1,128,2822,2822.0721716567778,12800,-0.00391540560976864
129,1,129,2822,2821.6829109740947,12900,-0.0038926068268301606
130,1,130,2821,2821.295876901318,13000,-0.0038703407277671433
131,1,131,2821,2820.911016170061,13100,-0.0038486073125704933
132,1,132,2820,2820.528275511934,13200,-0.003827406581267496
133,1,133,2820,2820.1476016585516,13300,-0.003806738533826319
134,1,134,2820,2819.7689413415255,13400,-0.003786603170260605
135,1,135,2820,2819.3922412924676,13500,-0.0037670004905794485
136,1,136,2819,2819.017448242991,13600,-0.00374793049476466
137,1,137,2819,2818.644508924709,13700,-0.003729393182820786
138,1,138,2819,2818.273370069233,13800,-0.00371138855476147
139,1,139,2818,2817.903978408175,13900,-0.0036939166105776165
140,1,140,2818,2817.536280673149,14000,-0.003676977350260131
141,1,141,2817,2817.170223595767,14100,-0.0036605707738226554
142,1,142,2817,2816.8057539076412,14200,-0.0036446968812560952
143,1,143,2817,2816.4428183403834,14300,-0.0036293556725786403
144,1,144,2816,2816.081363625608,14400,-0.0036145471477539103
145,1,145,2816,2815.7213364949253,14500,-0.0036002713068273807
146,1,146,2816,2815.3626836799494,14600,-0.0035865281497581237
147,1,147,2816,2815.0053519122926,14700,-0.0035733176765688768
148,1,148,2814,2814.649287923566,14800,-0.0035606398872641875
149,1,149,2814,2814.294438445384,14900,-0.0035484947818213187
150,1,150,2814,2813.9407502093586,15000,-0.0035368823602539125
151,1,151,2813,2813.5881699471015,15100,-0.003525802622571064
152,1,152,2813,2813.236644390226,15200,-0.0035152555687545826
153,1,153,2813,2812.886120270344,15300,-0.0035052411988226594
154,1,154,2811,2812.536544319069,15400,-0.003495759512748009
155,1,155,2811,2812.1878632680123,15500,-0.003486810510567011
156,1,156,2811,2811.840023848787,15600,-0.003478394192252381
157,1,157,2811,2811.4929727930053,15700,-0.0034705105578177607
158,1,158,2811,2811.14665683228,15800,-0.003463159607254056
159,1,159,2811,2810.8010226982233,15900,-0.0034563413405658138
160,1,160,2810,2810.456017122448,16000,-0.0034500557577530344
161,1,161,2810,2810.111586836567,16100,-0.00344430285881117
162,1,162,2809,2809.7676785721915,16200,-0.0034390826437538636
163,1,163,2809,2809.4242390609356,16300,-0.0034343951125583774
164,1,164,2808,2809.0812150344104,16400,-0.003430240265251996
165,1,165,2809,2808.7385532242292,16500,-0.0034266181018119822
166,1,166,2809,2808.396200362004,16600,-0.003423528622251979
167,1,167,2808,2808.054103179348,16700,-0.003420971826558343
168,1,168,2808,2807.7122084078737,16800,-0.0034189477147447177
169,1,169,2807,2807.3704627791926,16900,-0.0034174562868111024
170,1,170,2806,2807.028813024918,17000,-0.0034164975427484023
171,1,171,2806,2806.6872058766626,17100,-0.00341607148255207
172,1,172,2805,2806.3455880660376,17200,-0.00341617810624939
173,1,173,2805,2806.0039063246572,17300,-0.003416817413803983
174,1,174,2805,2805.6621073841325,17400,-0.003417989405247681
175,1,175,2804,2805.320137976077,17500,-0.0034196940805531996
176,1,176,2804,2804.977944832103,17600,-0.0034219314397432752
177,1,177,2803,2804.6354746838224,17700,-0.0034247014828042667
178,1,178,2803,2804.292674262848,17800,-0.0034280042097452677
179,1,179,2803,2803.949490300793,17900,-0.0034318396205480894
180,1,180,2803,2803.6058695292686,18000,-0.0034362077152445634
