OBJECTID,ORIG_FID,index,elev,smoothed_elev,distance_m,smoothed_slope
56,1,56,2617,2616.826415655179,5600,-0.0053185439298431446
57,1,57,2616,2616.2955153432104,5700,-0.005309003119687077
58,1,58,2615,2615.766285302497,5800,-0.0052923004071317335
59,1,59,2614,2615.23939827556,5900,-0.00526887026937402
60,1,60,2614,2614.7147643201406,6000,-0.005246339554191764
61,1,61,2614,2614.1922934939785,6100,-0.005224708261621345
62,1,62,2614,2613.6718958548117,6200,-0.005203976391667311
63,1,63,2613,2613.1534814603842,6300,-0.005184143944275093
64,1,64,2613,2612.6369603684348,6400,-0.005165210919494711
65,1,65,2611,2612.1222426367026,6500,-0.0051471773173216205
66,1,66,2611,2611.6092383229297,6600,-0.005130043137728535
67,1,67,2611,2611.097857484855,6700,-0.005113808380747287
68,1,68,2610,2610.58801018022,6800,-0.005098473046350591
69,1,69,2610,2610.079606466764,6900,-0.0050840371345611856
70,1,70,2609,2609.572556402228,7000,-0.005070500645356333
71,1,71,2609,2609.066770044352,7100,-0.005057863578763318
72,1,72,2609,2608.5621574508755,7200,-0.00504612593476395
73,1,73,2607,2608.05862867954,7300,-0.005035287713353682
74,1,74,2607,2607.5560937880855,7400,-0.005025348914546157
75,1,75,2606,2607.054462834252,7500,-0.005016309538336827
76,1,76,2607,2606.55364587578,7600,-0.005008169584716598
77,1,77,2606,2606.0535529704093,7700,-0.005000929053708205
78,1,78,2606,2605.5540941758804,7800,-0.004994587945288913
79,1,79,2604,2605.0551795499346,7900,-0.004989146259458721
80,1,80,2603,2604.5567191503105,8000,-0.004984603996240367
81,1,81,2603,2604.0586230347503,8100,-0.004980961155602017
82,1,82,2603,2603.5608012609923,8200,-0.004978217737580053
83,1,83,2603,2603.0631638867776,8300,-0.004976373742147188
84,1,84,2602,2602.5656209698473,8400,-0.0049754291693034245
85,1,85,2606,2602.0680825679406,8500,-0.0049753840190669505
86,1,86,2601,2601.5725651020784,8600,-0.004955174658621217
87,1,87,2601,2601.0809655467087,8700,-0.00491599555369703
88,1,88,2599,2600.593014789715,8800,-0.004879507569935413
89,1,89,2599,2600.1084437189793,8900,-0.004845710707359103
90,1,90,2599,2599.626983222383,9000,-0.004814604965963554
91,1,91,2600,2599.14836418781,9100,-0.0047861903457305744
92,1,92,2598,2598.6723175031398,9200,-0.004760466846701093
93,1,93,2599,2598.1985740562577,9300,-0.004737434468820538
94,1,94,2598,2597.7268647350447,9400,-0.004717093212129839
95,1,95,2597,2597.2569204273827,9500,-0.0046994430766199
96,1,96,2597,2596.788472021155,9600,-0.0046844840622770785
97,1,97,2596,2596.3212504042426,9700,-0.004672216169124113
98,1,98,2596,2595.8549864645292,9800,-0.004662639397133716
99,1,99,2595,2595.3894110898964,9900,-0.004655753746328628
100,1,100,2595,2594.924255168227,10000,-0.004651559216695205
101,1,101,2595,2594.4592495874026,10100,-0.004650055808242542
102,1,102,2593,2593.9941252353065,10200,-0.004651243520961543
103,1,103,2594,2593.5286129998194,10300,-0.0046551223548704
104,1,104,2591,2593.0624437688252,10400,-0.004661692309941828
105,1,105,2592,2592.595348430205,10500,-0.00467095338620311
106,1,106,2594,2592.127057871842,10600,-0.004682905583626962
107,1,107,2594,2591.6573029816186,10700,-0.004697548902236122
108,1,108,2594,2591.185814647416,10800,-0.004714883342026042
109,1,109,2590,2590.712323757118,10900,-0.004734908902978532
110,1,110,2590,2590.236561198605,11000,-0.004757625585129972
111,1,111,2590,2589.758257859761,11100,-0.004783033388439435
112,1,112,2591,2589.2771446284682,11200,-0.004811132312929658
113,1,113,2590,2588.7929523926077,11300,-0.004841922358605188
114,1,114,2590,2588.3080455377844,11400,-0.004849068548232935
